,Product Name,BigBasket Price,JioMart Price,DMart Price,MRP,Category,Sub Category,Big Basket Savings,JioMart Savings,DMart Savings,Big Basket Discount Percentage,JioMart Discount Percentage,DMart Discount Percentage
50,Ching's Secret Manchurian Instant Noodles 240 g,39,39,44,65,Snacks,Noodles,26,26,21,40,40,32
51,Ching's Secret Schezwan Instant Noodles 240 g,39,43,44,65,Snacks,Noodles,26,22,21,40,33,32
52,Weikfield Macaroni Pasta 900 g,89,99,69,120,Snacks,Noodles,31,21,51,25,17,42
53,Sunfeast Pasta Treat Instant Masala Pasta 65 g,19,18,19,28,Snacks,Noodles,9,10,9,32,35,32
54,Bambino Elbow Macaroni Pasta 400 g,45,48,42,52,Snacks,Noodles,7,4,10,13,7,19
55,Ching's Secret Just Soak Veg Hakka Noodles 140 g,25,25,25,30,Snacks,Noodles,5,5,5,16,16,16
56,Bambino Roasted Vermicelli 900 g,89,94,79,105,Snacks,Noodles,16,11,26,15,10,24
57,Lay's American Style Cream & Onion Potato Chips 104 g,29,33,28,50,Snacks,Chips&namkeens,21,17,22,42,34,44
58,Haldiram's Bhujia Sev 1 kg,169,185,155,260,Snacks,Chips&namkeens,91,75,105,35,28,40
59,Taali Cream & Onion Protien Puffs 60 g,29,29,29,59,Snacks,Chips&namkeens,30,30,30,50,50,50
60,Kurkure Masala Munch 85.5 g,16,18,15,20,Snacks,Chips&namkeens,4,2,5,20,10,25
61,Lay's India's Magic Masala Potato Chips 104 g,29,32,28,50,Snacks,Chips&namkeens,21,18,22,42,36,44
62,Kurkure Masala Munch 31 g,9,10,9,10,Snacks,Chips&namkeens,1,0,1,10,0,10
63,Act II Classic Salted Instant Popcorn 30 g,28,29,30,59,Snacks,Chips&namkeens,31,30,29,52,50,49
64,Bikaji Bikaneri Bhujia 1 kg,189,199,179,220,Snacks,Chips&namkeens,31,21,41,14,9,18
65,Taali Cheese & Herbs Protein Puffs 60 g,28,29,29,59,Snacks,Chips&namkeens,31,30,30,52,50,50
66,Taali Smoky Barbeque Protien Puffs 60 g,65,70,59,140,Snacks,Chips&namkeens,75,70,81,53,50,57
67,Taali Masala Mania Protien Puffs 60 g,29,29,29,50,Snacks,Chips&namkeens,21,21,21,42,42,42
68,Taali Sriracha Spice Roasted Makhana 60 g,69,70,65,72,Snacks,Chips&namkeens,3,2,7,4,2,9
69,Bingo Achaari Masti Mad Angles 130 g,35,40,33,40,Snacks,Chips&namkeens,5,0,7,12,0,17
70,Act II Golden Sizzle Instant Popcorn 30 g,25,29,22,38,Snacks,Chips&namkeens,13,9,16,34,23,42
71,Snactac Moong Dal 150 g,79,89,69,140,Snacks,Chips&namkeens,61,51,71,43,36,50
72,Taali Ghee & Himalayan Pink Salt Roasted Makhana 58 g,89,70,65,140,Snacks,Chips&namkeens,51,70,75,36,50,53
73,Snactac Bikaneri Bhujia 1 kg,149,149,144,190,Snacks,Chips&namkeens,41,41,46,21,21,24
74,Lotte Choco Pie 28 g (12 pcs),95,99,75,150,Snacks,Chocolate,55,51,75,36,34,50
75,Cadbury Dairy Milk Oreo Chunks Lickables Chocolate 20 g,25,35,29,50,Snacks,Chocolate,25,15,21,50,30,42
76,KitKat Share Bag 18 g (7 pcs),69,75,55,100,Snacks,Chocolate,31,25,45,31,25,45
77,Cadbury 5 Star Bites Home Treats Chocolate 200 g,89,95,79,149,Snacks,Chocolate,60,54,70,40,36,46
78,Amul Choco Minis 250 g,135,125,115,140,Snacks,Chocolate,5,15,25,3,10,17
79,Cadbury Dairy Milk Fruit & Nut Chocolate 36 g,41,41,39,45,Snacks,Chocolate,4,4,6,8,8,13
80,Cadbury Dairy Milk Chocolate 24 g,18,18,15,20,Snacks,Chocolate,2,2,5,10,10,25
81,Cadbury 5 Star 3D Chocolate 42 g,32,32,29,35,Snacks,Chocolate,3,3,6,8,8,17
82,Cadbury Dairy Milk Roast Almond Chocolate 36 g,45,41,39,45,Snacks,Chocolate,0,4,6,0,8,13
83,Cadbury Dairy Milk Silk Chocolate 150 g,169,140,149,170,Snacks,Chocolate,1,30,21,0,17,12
84,Snickers Chocolate 50 g,29,35,29,45,Snacks,Chocolate,16,10,16,35,22,35
85,Cadbury Dairy Milk Silk Fruit & Nut Chocolate 137 g,169,145,139,175,Snacks,Chocolate,6,30,36,3,17,20
86,Cadbury Dairy Milk Crackle Chocolate 36 g,41,41,39,45,Snacks,Chocolate,4,4,6,8,8,13
87,Cadbury Celebrations Chocolate Gift Pack 59.8 g,39,44,41,50,Snacks,Chocolate,11,6,9,22,12,18
88,Parle Melody Chocolaty Toffee 391 g,89,90,89,100,Snacks,Chocolate,11,10,11,11,10,11
89,Parle Poppins 100 g,20,16,15,20,Snacks,Chocolate,0,4,5,0,20,25
90,Cadbury Dairy Milk Silk Bubbly Chocolate 120 g,169,157,149,175,Snacks,Chocolate,6,18,26,3,10,14
91,Cadbury Dairy Milk Silk Roast Almond Chocolate 143 g,169,157,149,175,Snacks,Chocolate,6,18,26,3,10,14
92,Crave Eatables Bachubhai's Premium Kaju Katli Festive Edition 325 g,450,299,228,599,Snacks,Indian sweets,149,300,371,24,50,61
93,Snactac Celebrations Rasgulla 1 kg,189,144,135,289,Snacks,Indian sweets,100,145,154,34,50,53
94,Snactac Celebrations Besan Ladoo 500 g,239,160,150,259,Snacks,Indian sweets,20,99,109,7,38,42
95,Crave Eatables Besan Laddoo 450 g,199,119,222,239,Snacks,Indian sweets,40,120,17,16,50,7
96,Crave Eatables Bachubhai's Premium Soan Papdi 400 g,250,200,199,400,Snacks,Indian sweets,150,200,201,37,50,50
97,Amul Kaju Katri 200 g,165,175,155,190,Snacks,Indian sweets,25,15,35,13,7,18
